date,trades,total_volume,avg_leverage,avg_pnl,median_pnl,win_rate,classification
2024-02-15,63,185188.107677,1.0,29.219010746031746,13.15072,0.9047619047619048,Greed
2024-02-16,182,564896.535928,1.0,30.174554032967034,11.42332,0.8021978021978022,Greed
2024-02-17,94,406118.06327,1.0,20.52810425531915,4.1904,0.648936170212766,Extreme Greed
2024-02-18,97,157048.21183000001,1.0,4.923967319587628,6.59648,0.6288659793814433,Greed
2024-02-19,101,286377.1492,1.0,42.750183792079206,10.73646,0.7623762376237624,Extreme Greed
2024-02-20,39,119419.723704,1.0,83.68279035897436,13.6526,0.7948717948717948,Greed
2024-02-21,22,108047.53806,1.0,84.49084409090909,25.544000000000004,0.6818181818181818,Extreme Greed
2024-02-22,88,373033.916586,1.0,44.25119397727272,0.0,0.45454545454545453,Greed
2024-02-23,143,111106.02652999999,1.0,9.91995055944056,7.189966,0.958041958041958,Extreme Greed
2024-02-25,5,4480.1295,1.0,-6.1541,0.0,0.0,Greed
2024-02-26,39,192187.18292999998,1.0,113.25249487179488,31.028709,0.8717948717948718,Greed
2024-02-27,63,209362.29179000002,1.0,14.103360841269842,0.0,0.4126984126984127,Extreme Greed
2024-02-28,45,171107.101114,1.0,55.63882744444444,18.122,0.8666666666666667,Extreme Greed
2024-02-29,116,395666.685727,1.0,84.60342234482759,29.654400000000003,0.8620689655172413,Extreme Greed
2024-03-01,137,472974.663145,1.0,60.176944591240876,27.04384,0.9343065693430657,Extreme Greed
2024-03-02,31,63197.542455,1.0,7.448406451612905,1.3124,0.6774193548387096,Extreme Greed
2024-03-03,79,390745.677042,1.0,105.83653474683545,15.04116,0.6835443037974683,Extreme Greed
2024-03-04,300,1577996.746285,1.0,92.66591914,30.85353,0.8866666666666667,Extreme Greed
2024-03-05,180,841810.2949559999,1.0,109.95014467222222,34.3644515,0.9055555555555556,Extreme Greed
2024-03-06,82,327217.990646,1.0,83.10762364634145,27.00537,0.8780487804878049,Extreme Greed
2024-03-08,67,183583.229574,1.0,63.7594960597015,12.4432,0.8805970149253731,Extreme Greed
